Feature 	 Val_totalreads 	 Coq_totalreads
PiuraChilensis_v1_contig_1 	 7 	 13
PiuraChilensis_v1_contig_10 	 109 	 136
PiuraChilensis_v1_contig_100 	 38 	 24
PiuraChilensis_v1_contig_1000 	 97 	 63
PiuraChilensis_v1_contig_10000 	 19 	 15
PiuraChilensis_v1_contig_10001 	 5 	 5
PiuraChilensis_v1_contig_10002 	 2 	 4
PiuraChilensis_v1_contig_10003 	 3 	 6
PiuraChilensis_v1_contig_10004 	 2 	 5
PiuraChilensis_v1_contig_10005 	 3 	 4
PiuraChilensis_v1_contig_10006 	 12 	 11
PiuraChilensis_v1_contig_10007 	 7 	 4
PiuraChilensis_v1_contig_10008 	 3 	 7
PiuraChilensis_v1_contig_10009 	 6 	 5
PiuraChilensis_v1_contig_1001 	 41 	 45
PiuraChilensis_v1_contig_10010 	 11 	 11
PiuraChilensis_v1_contig_10011 	 47 	 21
PiuraChilensis_v1_contig_10012 	 3 	 3
PiuraChilensis_v1_contig_10013 	 9 	 4
PiuraChilensis_v1_contig_10014 	 0 	 4
PiuraChilensis_v1_contig_10015 	 11 	 11
PiuraChilensis_v1_contig_10016 	 22 	 2
PiuraChilensis_v1_contig_10017 	 9 	 6
PiuraChilensis_v1_contig_10018 	 7 	 14
PiuraChilensis_v1_contig_10019 	 2 	 4
PiuraChilensis_v1_contig_1002 	 10 	 11
PiuraChilensis_v1_contig_10020 	 2 	 6
PiuraChilensis_v1_contig_10021 	 0 	 2
PiuraChilensis_v1_contig_10022 	 32 	 2
PiuraChilensis_v1_contig_10023 	 32 	 0
PiuraChilensis_v1_contig_10024 	 16 	 17
PiuraChilensis_v1_contig_10025 	 2 	 6
PiuraChilensis_v1_contig_10026 	 2 	 8
PiuraChilensis_v1_contig_10027 	 6 	 3
PiuraChilensis_v1_contig_10028 	 8 	 5
PiuraChilensis_v1_contig_10029 	 5 	 13
PiuraChilensis_v1_contig_1003 	 281 	 266
PiuraChilensis_v1_contig_10030 	 6 	 0
PiuraChilensis_v1_contig_10031 	 85 	 111
PiuraChilensis_v1_contig_10032 	 10 	 4
PiuraChilensis_v1_contig_10033 	 1 	 4
PiuraChilensis_v1_contig_10034 	 5 	 9
PiuraChilensis_v1_contig_10035 	 2 	 3
PiuraChilensis_v1_contig_10036 	 16 	 2
PiuraChilensis_v1_contig_10037 	 4 	 3
PiuraChilensis_v1_contig_10038 	 10 	 9
PiuraChilensis_v1_contig_10039 	 1 	 11
PiuraChilensis_v1_contig_1004 	 345 	 396
PiuraChilensis_v1_contig_10040 	 10 	 13
PiuraChilensis_v1_contig_10041 	 6 	 5
PiuraChilensis_v1_contig_10042 	 6 	 8
PiuraChilensis_v1_contig_10043 	 4 	 3
PiuraChilensis_v1_contig_10044 	 5 	 22
PiuraChilensis_v1_contig_10045 	 11 	 21
PiuraChilensis_v1_contig_10046 	 9 	 17
PiuraChilensis_v1_contig_10047 	 6 	 5
PiuraChilensis_v1_contig_10048 	 13 	 9
PiuraChilensis_v1_contig_10049 	 0 	 11
PiuraChilensis_v1_contig_1005 	 0 	 9
PiuraChilensis_v1_contig_10050 	 3 	 6
PiuraChilensis_v1_contig_10051 	 5 	 14
PiuraChilensis_v1_contig_10052 	 3 	 4
PiuraChilensis_v1_contig_10053 	 6 	 2
PiuraChilensis_v1_contig_10054 	 7 	 8
PiuraChilensis_v1_contig_10055 	 16 	 19
PiuraChilensis_v1_contig_10056 	 7 	 24
PiuraChilensis_v1_contig_10057 	 10 	 1
PiuraChilensis_v1_contig_10058 	 34 	 12
PiuraChilensis_v1_contig_10059 	 25 	 8
PiuraChilensis_v1_contig_1006 	 21 	 12
PiuraChilensis_v1_contig_10060 	 10 	 4
PiuraChilensis_v1_contig_10061 	 5 	 10
PiuraChilensis_v1_contig_10062 	 6 	 3
PiuraChilensis_v1_contig_10063 	 14 	 7
PiuraChilensis_v1_contig_10064 	 12 	 15
PiuraChilensis_v1_contig_10065 	 27 	 19
PiuraChilensis_v1_contig_10066 	 8 	 15
PiuraChilensis_v1_contig_10067 	 9 	 7
PiuraChilensis_v1_contig_10068 	 32 	 15
PiuraChilensis_v1_contig_10069 	 3 	 0
PiuraChilensis_v1_contig_1007 	 28 	 47
PiuraChilensis_v1_contig_10070 	 1 	 4
PiuraChilensis_v1_contig_10071 	 10 	 14
PiuraChilensis_v1_contig_10072 	 9 	 13
